County,Neighborhood,"Total population (100 percent count ), number,  2010 (Census 2010)",
Cuyahoga,Bay Village,15651,
Cuyahoga,Beachwood,11953,
Cuyahoga,Bedford,13074,
Cuyahoga,Bedford Heights,10751,
Cuyahoga,Bellaire-Puritas,13365,
Cuyahoga,Bentleyville,864,
Cuyahoga,Berea,19093,
Cuyahoga,Bratenahl,1197,
Cuyahoga,Brecksville,13656,
Cuyahoga,Broadview Heights,19400,
Cuyahoga,Broadway-Slavic Village,22431.54698561132,
Cuyahoga,Brook Park,19212,
Cuyahoga,Brooklyn,11169,
Cuyahoga,Brooklyn Centre,8954.061616659164,
Cuyahoga,Brooklyn Heights,1543,
Cuyahoga,Buckeye-Shaker Square,12470,
Cuyahoga,Buckeye-Woodhill,6656.91013199091,
Cuyahoga,Central,12306,
Cuyahoga,Chagrin Falls Township,120,
Cuyahoga,Chagrin Falls Village,4113,
Cuyahoga,Clark-Fulton,8547.84296965599,
Cuyahoga,Cleveland Heights,46121,
Cuyahoga,Collinwood-Nottingham,11542,
Cuyahoga,Cudell,9288,
Cuyahoga,Cuyahoga Heights,638,
Cuyahoga,Cuyahoga Valley,968.696956962347,
Cuyahoga,Detroit Shoreway,11567.030796408653,
Cuyahoga,Downtown,9464,
Cuyahoga,East Cleveland,17843,
Cuyahoga,Edgewater,5850,
Cuyahoga,Euclid,48920,
Cuyahoga,Euclid-Green,5533,
Cuyahoga,Fairfax,6239,
Cuyahoga,Fairview Park,16826,
Cuyahoga,Garfield Heights,28849,
Cuyahoga,Gates Mills,2270,
Cuyahoga,Glenville,27267.815422475338,
Cuyahoga,Glenwillow,923,
Cuyahoga,Goodrich-Kirtland Pk,4238,
Cuyahoga,Highland Heights,8345,
Cuyahoga,Highland Hills,1130,
Cuyahoga,Hopkins,282.8221806585789,
Cuyahoga,Hough,11475.163868188858,
Cuyahoga,Hunting Valley,589,
Cuyahoga,Independence,7133,
Cuyahoga,Jefferson,16548,
Cuyahoga,Kamm's,25170.17781843245,
Cuyahoga,Kinsman,6987.089867949486,
Cuyahoga,Lakewood,52131,
Cuyahoga,Lee-Harvard,10326,
Cuyahoga,Lee-Seville,4496,
Cuyahoga,Linndale,179,
Cuyahoga,Lyndhurst,14001,
Cuyahoga,Maple Heights,23138,
Cuyahoga,Mayfield Heights,19155,
Cuyahoga,Mayfield Village,3460,
Cuyahoga,Middleburg Heights,15946,
Cuyahoga,Moreland Hills,3320,
Cuyahoga,Mount Pleasant,17320,
Cuyahoga,Newburgh Heights,2167,
Cuyahoga,North Olmsted,32718,
Cuyahoga,North Randall,1027,
Cuyahoga,North Royalton,30444,
Cuyahoga,North Shore Collinwood,15768,
Cuyahoga,Oakwood,3667,
Cuyahoga,Ohio City,8735.969203412533,
Cuyahoga,Old Brooklyn,32009,
Cuyahoga,Olmsted Falls,9024,
Cuyahoga,Olmsted Township,13513,
Cuyahoga,Orange,3323,
Cuyahoga,Parma,81601,
Cuyahoga,Parma Heights,20718,
Cuyahoga,Pepper Pike,5979,
Cuyahoga,Richmond Heights,10546,
Cuyahoga,Rocky River,20213,
Cuyahoga,Seven Hills,11804,
Cuyahoga,Shaker Heights,28448,
Cuyahoga,Solon,23348,
Cuyahoga,South Euclid,22295,
Cuyahoga,St.Clair-Superior,6876,
Cuyahoga,Stockyards,10372.15703010559,
Cuyahoga,Strongsville,44750,
Cuyahoga,Tremont,7947.694440066814,
Cuyahoga,Union-Miles,19004,
Cuyahoga,University,7920.020709037781,
Cuyahoga,University Heights,13539,
Cuyahoga,Valley View,2034,
Cuyahoga,Walton Hills,2281,
Cuyahoga,Warrensville Heights,13542,
Cuyahoga,West Boulevard,18888,
Cuyahoga,Westlake,32729,
Cuyahoga,Woodmere,884,
