County,Neighborhood,"SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 1, 2012 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 2, 2012 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 3, 2012 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 4, 2012 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 1, 2013 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 2, 2013 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 3, 2013 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 4, 2013 (Public Assistance)",
Cuyahoga,Bay Village,23.95,24.98,21.96,23.95,21.24,22.33,22.21,22.46,
Cuyahoga,Beachwood,24.13,26.05,25.89,26.56,22.68,25.27,23.01,23.1,
Cuyahoga,Bedford,170.94,163.24,167.44,174.12,171.98,180.59,179.26,177.93,
Cuyahoga,Bedford Heights,233.64,240.86,237.77,241.52,242.58,242.58,241.45,235.35,
Cuyahoga,Bellaire-Puritas,341.65,339.37,340.97,338.23,328.4,348.32,356.6,358.44,
Cuyahoga,Bentleyville,7.05,7.05,5.88,8.23,8.29,7.1,9.47,11.84,
Cuyahoga,Berea,70.14,71.87,70.72,69.78,72.45,73.39,76.37,74.96,
Cuyahoga,Bratenahl,50.38,50.38,51.23,50.38,51.8,48.35,45.76,45.76,
Cuyahoga,Brecksville,15.43,14.19,15.65,15.94,13.63,18.63,17.25,17.18,
Cuyahoga,Broadview Heights,38.5,37.01,36.16,38.7,36.37,40.53,42.19,42.34,
Cuyahoga,Broadway-Slavic Village,518.13,510.82,507.67,508.39,533.15,544.32,541.94,533.4,
Cuyahoga,Brook Park,109.54,109.65,112.51,114.95,111.33,116.35,117.26,117.96,
Cuyahoga,Brooklyn,141.95,145.28,147.36,149.43,150.59,158.81,158.54,159,
Cuyahoga,Brooklyn Centre,511.63,519.08,519.54,523.78,537.95,548.18,557.48,547.37,
Cuyahoga,Brooklyn Heights,53.76,58.29,53.76,60.23,51.8,59.57,61.51,63.45,
Cuyahoga,Buckeye-Shaker Square,368.97,371.44,363.27,369.82,375.95,390.07,391.12,398.23,
Cuyahoga,Buckeye-Woodhill,643.78,619.19,608.19,587.81,600.33,611.94,608.74,633.98,
Cuyahoga,Central,746.69,744.47,745.74,751.86,659.43,712.01,702.7,695.42,
Cuyahoga,Chagrin Falls Township,0,0,0,0,0,0,0,0,
Cuyahoga,Chagrin Falls Village,9.19,9.67,9.19,12.58,11.58,12.3,13.27,14.23,
Cuyahoga,Clark-Fulton,598.12,595.4,583.28,593.42,602.4,620.93,601.25,603.03,
Cuyahoga,Cleveland Heights,190.22,190.29,191.04,194.05,188.73,194.77,193,193.75,
Cuyahoga,Collinwood-Nottingham,525.24,516.73,505.42,502.8,506.68,526.82,511.64,515.05,
Cuyahoga,Cudell,505.33,508.1,506.55,514.52,525.01,537.15,536.25,539.06,
Cuyahoga,Cuyahoga Heights,114.01,112.47,117.1,141.75,134.44,132.92,116.11,128.33,
Cuyahoga,Cuyahoga Valley,28.23,31.76,30.58,32.93,27.64,31.1,28.79,28.79,
Cuyahoga,Detroit Shoreway,479.67,471.85,468.07,458.45,458.95,467.58,458.12,451.51,
Cuyahoga,Downtown,223.23,595.37,225.29,231.85,218.78,230.22,224.08,225.59,
Cuyahoga,East Cleveland,539.32,527.04,529.41,530.97,524.73,554.74,551.9,547.28,
Cuyahoga,Edgewater,241.09,240.74,235.35,236.05,229.46,228.24,225.96,226.48,
Cuyahoga,Euclid,251.62,250.83,248.45,249.98,244.91,258.38,261.14,265.61,
Cuyahoga,Euclid-Green,365.66,372.35,363.43,364.36,356.52,365.77,361.61,360.48,
Cuyahoga,Fairfax,619.08,631.09,690.63,718.77,713.7,753.68,768.78,775.89,
Cuyahoga,Fairview Park,67.76,69.73,70.27,70.75,69.23,72.66,72.84,74.35,
Cuyahoga,Garfield Heights,234.17,233.85,232.91,232.1,226.55,243.27,243.73,242.67,
Cuyahoga,Gates Mills,10.32,8.53,7.18,6.73,6.34,5.89,6.8,6.34,
Cuyahoga,Glenville,541.84,532.34,522.12,523.82,547.36,550.21,552.93,549.02,
