County,Neighborhood,"SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 1, 2014 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 2, 2014 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 3, 2014 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 4, 2014 (Public Assistance)",
Cuyahoga,Bay Village,21.09,22.77,24.71,23.54,
Cuyahoga,Beachwood,23.56,21.65,20.9,20.32,
Cuyahoga,Bedford,176.05,170.69,172.27,181.02,
Cuyahoga,Bedford Heights,235.34,225.01,220.4,223.13,
Cuyahoga,Bellaire-Puritas,361.37,365.15,370.17,380.3,
Cuyahoga,Bentleyville,11.89,11.89,13.08,10.7,
Cuyahoga,Berea,73.54,71.66,71.5,71.66,
Cuyahoga,Bratenahl,44.53,40.16,42.78,36.67,
Cuyahoga,Brecksville,19.05,18.04,17.39,17.25,
Cuyahoga,Broadview Heights,40.39,40.92,42.02,40.63,
Cuyahoga,Broadway-Slavic Village,543.63,525.19,529.58,533.76,
Cuyahoga,Brook Park,114.71,115.52,110.3,110.52,
Cuyahoga,Brooklyn,154.75,154.29,160.09,163.18,
Cuyahoga,Brooklyn Centre,534.23,516.43,524.8,513.95,
Cuyahoga,Brooklyn Heights,56.96,46.6,47.9,42.07,
Cuyahoga,Buckeye-Shaker Square,412.62,401.48,396.5,396.78,
Cuyahoga,Buckeye-Woodhill,658.01,631.04,636.82,640.15,
Cuyahoga,Central,682.38,662.11,664.57,663.03,
Cuyahoga,Chagrin Falls Township,0,0,0,0,
Cuyahoga,Chagrin Falls Village,13.23,11.31,11.55,11.55,
Cuyahoga,Clark-Fulton,613.58,590.53,591.57,578.42,
Cuyahoga,Cleveland Heights,193.16,187.65,185.9,186.91,
Cuyahoga,Collinwood-Nottingham,526.66,520.88,512.77,513.58,
Cuyahoga,Cudell,543.2,529.29,534.54,540.92,
Cuyahoga,Cuyahoga Heights,116.66,122.72,90.9,81.81,
Cuyahoga,Cuyahoga Valley,27.08,23.69,23.69,25.95,
Cuyahoga,Detroit Shoreway,453.88,444.88,444.22,435.88,
Cuyahoga,Downtown,212.06,203.2,212.06,216.53,
Cuyahoga,East Cleveland,566.25,558.71,557.04,556.34,
Cuyahoga,Edgewater,232.31,231.96,234.26,230.9,
Cuyahoga,Euclid,268.58,268.92,272.43,273.19,
Cuyahoga,Euclid-Green,374.88,359.94,365.3,372.77,
Cuyahoga,Fairfax,777.4,737.47,710.97,695.52,
Cuyahoga,Fairview Park,74.04,74.1,79,77.97,
Cuyahoga,Garfield Heights,243.08,239.33,244.07,248.73,
Cuyahoga,Gates Mills,6.4,6.86,6.4,6.86,
Cuyahoga,Glenville,571.78,551.9,545.08,545.62,
Cuyahoga,Glenwillow,61.12,53.37,44.76,43.9,
Cuyahoga,Goodrich-Kirtland Pk,354.09,348.34,346.43,332.78,
Cuyahoga,Highland Heights,17.4,18.7,18.94,19.88,
Cuyahoga,Highland Hills,132.92,124.42,126.54,127.61,
Cuyahoga,Hopkins,249.97,220.9,232.53,308.1,
Cuyahoga,Hough,592,560.32,569.54,566.17,
Cuyahoga,Hunting Valley,5.05,5.05,1.68,1.68,
Cuyahoga,Independence,23.97,24.39,23.56,24.11,
Cuyahoga,Jefferson,318.36,311.87,322.55,326.23,
Cuyahoga,Kamm's,179.22,177.53,177.16,178.86,
Cuyahoga,Kinsman,646.24,640.05,636.7,640.22,
Cuyahoga,Lakewood,159.98,158.41,153.63,152.89,
Cuyahoga,Lee-Harvard,291.99,282.09,290.26,301.7,
Cuyahoga,Lee-Seville,394.32,394.81,384.33,381.89,
Cuyahoga,Linndale,227.31,222.36,182.83,222.36,
Cuyahoga,Lyndhurst,43.59,44.77,45.22,44.11,
Cuyahoga,Maple Heights,326.42,318.85,319.48,325.69,
Cuyahoga,Mayfield Heights,87.81,85.8,87.5,87.91,
Cuyahoga,Mayfield Village,17.95,18.23,17.67,17.39,
Cuyahoga,Middleburg Heights,56.49,54.69,56.43,55.62,
Cuyahoga,Moreland Hills,12.9,12.6,11.4,12,
Cuyahoga,Mount Pleasant,543.53,522.59,521.7,507.92,
Cuyahoga,Newburgh Heights,286.3,302.49,303.45,319.64,
Cuyahoga,North Olmsted,88.7,89.33,90.29,89.01,
Cuyahoga,North Randall,185.08,168.75,166.03,172.38,
Cuyahoga,North Royalton,48.81,48.01,48.36,49.26,
Cuyahoga,North Shore Collinwood,364.25,353.9,360.67,364.79,
Cuyahoga,Oakwood,158.13,147.84,148.65,157.32,
Cuyahoga,Ohio City,399.37,389.96,395.86,386.33,
Cuyahoga,Old Brooklyn,325.61,317.13,322.5,322.02,
Cuyahoga,Olmsted Falls,47.07,47.49,47.18,46.33,
Cuyahoga,Olmsted Township,51.8,52.61,51.32,52.61,
Cuyahoga,Orange,36.47,37.66,40.03,33.51,
Cuyahoga,Parma,125.31,123.29,123.31,121.94,
Cuyahoga,Parma Heights,126.39,120.84,119.33,121.37,
Cuyahoga,Pepper Pike,10.89,9.05,9.88,10.39,
Cuyahoga,Richmond Heights,133.25,131.52,135.17,135.26,
Cuyahoga,Rocky River,44.39,44.19,45.38,44.74,
Cuyahoga,Seven Hills,39.55,40.75,40.32,39.64,
Cuyahoga,Shaker Heights,102.32,100.72,100.25,100.61,
Cuyahoga,Solon,34.07,33.16,33.57,32.74,
Cuyahoga,South Euclid,146.3,141.12,142.45,140.16,
Cuyahoga,St.Clair-Superior,695.6,680.55,660.34,656.78,
Cuyahoga,Stockyards,521.66,512.69,509.32,519.92,
Cuyahoga,Strongsville,45.37,44.06,43,43.93,
Cuyahoga,Tremont,352.58,346,350.16,336.21,
Cuyahoga,Union-Miles,520.61,512.05,507.68,505.25,
Cuyahoga,University,138.41,137.36,137.36,135.96,
Cuyahoga,University Heights,85.32,85.61,84.46,85.18,
Cuyahoga,Valley View,35.71,42.75,35.71,35.2,
Cuyahoga,Walton Hills,19.73,19.29,16.15,16.59,
Cuyahoga,Warrensville Heights,314.58,302.56,303.84,300.15,
Cuyahoga,West Boulevard,429.73,427.81,434.87,440.68,
Cuyahoga,Westlake,42.84,43.83,44.37,44.55,
Cuyahoga,Woodmere,79.35,81.55,77.14,58.41,
